tag,n_files,valid_mean,valid_std,novelty_mean,novelty_std,recovery_mean,recovery_std,avg_tokens,avg_cost
baseline,3,0.8518518518518517,0.038254078025704845,0.3277777777777777,0.0203670030886927,0.3092592592592592,0.012636090451282937,68039.0,0.004934110000000001
t0.85_m2.0,3,0.8407407407407407,0.02556360581738879,0.29962962962962963,0.016380255101848835,0.28851851851851845,0.016380255101848866,67986.33333333333,0.004926876666666667
t0.95_m2.0,3,0.8307407407407408,0.01963661650638745,0.15870370370370368,0.0032075014954978938,0.29888888888888887,3.204937810639273e-17,140341.66666666666,0.010159266666666666
